vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,delayed,delivery_rating,delivery_cost
truck,express,central,foggy,198.5,20.1,5.993369838790166,no,5,1102.8
ev bike,express,west,hot,158.7,35.06,5.212497537986144,yes,2,948.68
truck,same day,north,clear,265.3,31.8,7.180624099492476,no,5,1521.9
truck,express,east,stormy,208.8,22.83,7.699268437704156,yes,2,1162.49
scooter,express,east,rainy,55.7,46.5,4.46648046838971,yes,1,468.0
van,standard,east,foggy,80.6,45.16,4.274952532572834,no,3,538.48
bike,same day,east,stormy,187.7,6.69,7.134516781699128,yes,3,1058.57
bike,standard,south,foggy,225.6,22.83,6.579928575578645,no,5,1196.49
truck,express,east,rainy,24.5,0.67,2.985242650322939,yes,2,174.12
scooter,standard,west,rainy,194.3,29.51,6.887503434271432,no,4,1060.03
van,express,central,foggy,52.0,43.18,4.122148062806302,yes,3,439.54
van,same day,north,clear,282.9,31.33,7.745970471776651,yes,2,1608.49
van,same day,north,cold,289.2,16.14,8.118217749263646,yes,1,1594.42
ev bike,standard,east,cold,257.9,45.92,8.084899423557768,no,3,1427.26
van,same day,east,hot,258.3,42.79,7.290156765927941,yes,2,1519.87
ev van,express,central,rainy,288.4,44.12,8.712519327187058,yes,2,1624.36
van,express,east,hot,86.5,37.04,4.441316476270421,no,4,593.62
ev van,same day,south,stormy,157.3,4.51,6.191289155714447,yes,2,900.03
ev van,standard,central,rainy,41.0,29.25,4.065052619554375,no,5,292.75
van,standard,central,foggy,137.4,27.87,5.5386067553712515,no,3,770.61
ev bike,standard,north,clear,32.3,46.58,2.7899587211622343,no,4,301.24
van,express,central,clear,207.8,40.12,6.761763134414468,yes,2,1209.36
ev van,standard,south,foggy,23.6,12.4,2.4348908644860723,no,4,155.2
ev bike,standard,south,clear,258.0,37.92,7.481868182429341,no,4,1403.76
van,same day,north,cold,255.6,18.93,7.448119808091164,no,5,1434.79
scooter,standard,north,cold,289.7,19.13,7.7172298721910835,no,5,1505.89
ev van,express,north,rainy,9.1,45.65,3.356273251955895,yes,3,232.45
truck,standard,west,foggy,245.8,4.19,7.3842101107098745,no,5,1241.57
ev bike,two day,central,hot,88.6,8.67,3.993215101260968,no,3,469.01
ev bike,standard,central,rainy,59.6,20.84,3.868947357209832,no,4,360.52
bike,express,east,hot,225.4,22.3,6.820525725997237,no,5,1243.9
scooter,express,south,clear,36.9,45.45,2.6929657915189495,yes,3,370.85
ev van,same day,central,stormy,262.9,31.73,9.208708857475651,yes,2,1509.69
scooter,standard,central,clear,262.7,28.7,7.334508166579692,no,5,1399.6
ev van,two day,east,hot,167.2,35.91,5.445279522167016,no,3,943.73
van,express,south,hot,127.4,3.49,4.3216082588440505,no,3,697.47
ev van,standard,central,foggy,267.0,26.49,8.324684387070057,no,3,1414.47
truck,same day,south,cold,214.0,34.34,6.3594803110451075,no,4,1273.02
bike,same day,east,stormy,10.6,42.68,4.423487387933983,no,5,281.04
scooter,same day,central,rainy,124.2,1.02,5.120395022347343,no,5,724.06
ev van,two day,north,stormy,129.5,13.38,5.796022278891745,no,4,687.64
scooter,express,south,foggy,257.0,10.83,7.771733481036253,yes,2,1367.49
scooter,two day,south,hot,264.9,43.16,7.639007155982012,no,5,1453.98
bike,two day,west,stormy,163.5,19.83,6.382788901466204,no,5,876.99
truck,same day,north,hot,34.6,47.42,3.373476342882904,no,4,415.26
ev bike,two day,north,rainy,183.1,38.15,6.69931112115348,no,4,1029.95
ev van,standard,south,clear,138.7,43.15,5.14087791658792,no,5,822.95
ev van,same day,south,foggy,127.5,41.92,5.341136519264381,no,5,863.26
ev van,standard,west,clear,295.3,8.06,7.408061025321806,no,4,1500.68
ev van,express,central,foggy,297.1,2.64,8.30712976285186,yes,3,1551.92
truck,same day,east,foggy,123.5,29.37,5.537412565396474,yes,2,805.61
ev bike,standard,south,stormy,280.4,3.78,8.919868088561815,no,4,1413.34
truck,express,west,hot,74.1,28.64,3.878423073245369,yes,1,506.42
bike,express,west,cold,58.9,11.97,3.536282098917907,no,3,380.41
bike,standard,north,clear,197.4,47.42,6.168194532204038,no,5,1129.26
bike,same day,central,foggy,150.6,22.4,5.89313426823306,no,4,920.2
van,two day,east,hot,224.0,31.45,7.200624709620806,no,3,1214.35
van,two day,west,rainy,33.9,29.91,4.076974113677996,no,5,259.23
truck,two day,north,cold,145.2,46.17,6.093215016478213,no,3,864.51
truck,two day,central,stormy,204.9,41.15,7.90021353912986,no,4,1147.95
van,standard,central,foggy,150.8,39.64,6.035069293592972,no,3,872.92
ev bike,standard,central,clear,86.6,16.17,3.897026058612979,no,5,481.51
ev van,standard,east,stormy,150.7,17.56,6.761863865300264,no,4,806.18
scooter,two day,north,clear,176.0,18.92,5.37003798540177,no,4,936.76
scooter,standard,east,rainy,165.6,18.69,5.889628629979405,no,3,884.07
ev van,two day,west,foggy,170.2,44.12,6.428708655203234,no,5,983.36
ev van,express,east,clear,133.4,24.33,4.230011075242384,yes,2,789.99
scooter,same day,east,clear,100.0,33.34,4.37721078217908,no,3,700.02
truck,two day,south,cold,22.1,11.47,2.871113148590623,no,5,144.91
truck,two day,west,foggy,14.9,49.35,3.309491923592641,no,3,222.55
truck,standard,east,clear,160.6,48.08,5.621740208994017,no,4,947.24
ev van,express,west,rainy,257.8,30.28,7.931002874253176,yes,1,1429.84
bike,standard,north,stormy,235.9,46.05,8.6668254471601,no,3,1317.65
truck,express,south,cold,161.3,41.74,6.139889839588505,no,3,981.72
scooter,express,central,foggy,192.2,4.85,6.367382046996516,yes,2,1025.55
ev bike,two day,west,rainy,293.0,48.5,9.752602959112153,no,5,1610.5
truck,same day,west,foggy,290.2,15.21,8.547924225065367,yes,3,1596.63
ev bike,standard,east,hot,297.1,10.39,7.520326534070289,no,4,1523.17
ev van,express,east,clear,5.9,49.52,2.2250979008850056,no,4,228.09
ev bike,same day,west,stormy,191.2,5.3,6.617003181945828,yes,3,1071.9
ev van,same day,west,foggy,223.8,32.15,6.962854556431931,yes,2,1315.45
ev bike,two day,east,cold,31.8,46.64,3.526240604494241,no,5,298.92
truck,standard,central,foggy,109.6,49.52,4.753552040580533,no,5,696.68
van,two day,south,stormy,50.4,43.7,5.105258416326361,no,5,383.1
van,two day,south,hot,116.0,45.04,5.13205354797986,no,4,715.12
van,standard,west,hot,132.9,24.05,4.371882514816683,no,5,736.65
truck,same day,west,clear,54.3,47.84,3.3297399663317906,no,5,515.02
ev bike,same day,east,foggy,149.3,9.87,5.171758074454462,no,3,876.11
van,two day,central,clear,57.1,12.91,2.6375191437551564,no,5,324.23
truck,standard,central,clear,276.8,10.69,7.52906581549928,no,4,1416.07
van,standard,south,foggy,51.7,34.82,3.7738309078300527,no,5,362.96
truck,two day,west,foggy,154.3,1.91,5.516234681831314,no,5,777.23
ev bike,standard,central,hot,103.9,11.4,3.94179385025262,no,5,553.7
van,express,central,hot,127.4,22.72,4.751455235699642,yes,2,755.16
van,express,east,cold,117.4,18.36,4.17923433335165,no,4,692.08
scooter,same day,west,rainy,293.6,0.67,7.961257854966662,yes,1,1569.17
van,express,west,stormy,199.4,11.71,7.121449620672996,yes,2,1082.13
van,two day,central,clear,15.6,2.87,1.94556709600931,no,5,95.6674
bike,standard,south,foggy,250.7,11.8,6.820080499593971,no,4,1288.9
ev van,same day,north,clear,164.1,25.8,5.211593456572601,no,5,997.9
ev van,same day,west,cold,35.8,18.21,2.540080326951007,no,4,333.63
scooter,same day,west,stormy,142.0,41.28,7.156163768453849,no,5,933.84
ev van,standard,central,clear,40.9,19.04,2.2536692825697955,no,5,261.62
scooter,express,north,foggy,167.7,20.09,6.219204657705394,yes,3,948.77
van,two day,north,hot,111.8,15.89,4.335876315206175,no,4,606.67
bike,same day,east,hot,21.0,8.0,2.2761145194339374,no,4,229.0
truck,standard,west,hot,196.4,10.26,6.125455187178815,no,3,1012.78
van,same day,central,stormy,70.8,46.37,5.56399742568583,yes,2,593.11
scooter,two day,west,cold,230.1,25.52,7.251075936924621,no,4,1227.06
scooter,two day,west,cold,271.2,45.63,7.83819203333756,no,5,1492.89
ev van,standard,south,foggy,73.6,30.03,3.8288663239913876,no,3,458.09
ev bike,standard,east,cold,92.4,17.36,4.412593515296452,no,4,514.08
bike,standard,north,hot,14.9,49.46,3.4058586932776365,no,5,222.88
bike,express,west,clear,145.0,3.55,4.232778182451522,yes,3,785.65
bike,two day,north,hot,252.2,46.23,7.4820745889924805,no,4,1399.69
scooter,express,north,rainy,33.9,21.07,3.9232175266334757,yes,2,282.71
ev bike,two day,north,cold,51.2,39.62,3.5163014591708803,no,5,374.86
bike,standard,central,rainy,223.6,40.23,7.466553623478227,no,5,1238.69
scooter,two day,north,foggy,191.8,15.48,5.691954726901632,no,3,1005.44
bike,two day,south,cold,60.6,4.14,2.897602976022151,no,3,315.42
truck,two day,central,hot,52.2,39.45,3.854953745572658,no,4,379.35
ev bike,same day,north,clear,22.1,36.84,2.730184197275478,no,5,321.02
truck,same day,east,cold,6.3,13.42,2.1239438172761647,no,4,171.76
ev van,standard,north,foggy,127.4,42.36,5.107425718943833,no,4,764.08
ev bike,two day,east,stormy,33.2,27.73,4.693908301595545,no,5,249.19
ev bike,same day,central,clear,88.3,38.22,3.5417308255719626,no,5,656.16
scooter,same day,south,clear,262.3,23.86,7.439298625780433,no,5,1483.08
ev van,express,east,foggy,15.8,4.79,2.00348386091261,no,4,143.37
truck,standard,central,foggy,239.2,4.47,6.964292480289591,no,5,1209.41
bike,same day,east,clear,115.1,33.73,4.699361874154274,no,3,776.69
bike,same day,central,clear,124.2,49.52,4.610026697027903,no,4,870.85
ev van,standard,south,hot,291.8,38.8,8.591606102927827,no,4,1575.4
scooter,two day,south,stormy,171.0,23.14,6.591170680042657,no,5,924.42
van,standard,north,stormy,12.0,43.81,3.7612369035568594,no,5,191.43
ev bike,same day,south,stormy,238.4,24.39,8.265366704586757,yes,3,1365.17
ev bike,standard,north,cold,166.8,28.47,5.491396040639592,no,5,919.41
bike,two day,east,foggy,233.3,16.84,7.111629233456824,no,5,1217.02
truck,express,north,cold,46.2,34.0,2.9644358826474613,no,4,383.0
ev van,express,north,rainy,79.5,28.58,4.446735269809767,yes,3,533.24
van,same day,east,hot,273.2,47.03,8.536265722567858,yes,2,1607.09
truck,two day,west,stormy,129.5,19.91,6.28913919489887,no,3,707.23
scooter,same day,north,rainy,153.7,24.73,5.9806139737701445,no,4,942.69
ev bike,same day,west,clear,193.3,8.82,5.825582258540245,no,4,1092.96
bike,standard,east,clear,159.0,38.64,4.96149340462977,no,5,910.92
truck,two day,north,stormy,225.4,49.16,8.140318415758015,no,5,1274.48
van,same day,east,clear,67.7,48.92,4.023341345514796,no,3,585.26
truck,standard,central,stormy,276.3,23.98,8.511907272024512,no,4,1453.44
van,express,east,hot,17.1,26.57,2.8621333544951435,no,5,215.21
ev van,same day,central,hot,150.4,15.12,5.139539206323437,no,5,897.36
ev van,two day,central,clear,297.1,48.54,8.152310946029647,no,5,1632.7206
scooter,same day,south,clear,198.0,5.95,5.946528441097302,no,4,1107.85
bike,express,north,rainy,145.2,38.94,6.278386937973423,yes,3,892.82
van,express,west,foggy,285.8,28.09,7.901017440025226,yes,2,1563.27
truck,same day,east,clear,24.3,32.34,2.248219654708895,no,5,318.52
ev bike,two day,south,foggy,127.3,31.7,4.797958862765688,no,4,731.6
truck,same day,north,clear,271.2,21.93,7.686182395890134,yes,3,1521.79
truck,two day,north,clear,204.4,26.11,5.896808015970861,no,4,1100.33
bike,same day,central,foggy,111.2,34.93,5.385630311024636,no,4,760.79
ev bike,express,north,stormy,293.3,47.56,9.421299894816414,yes,3,1632.7206
scooter,express,central,foggy,228.0,20.54,7.179689928867211,yes,3,1251.62
van,express,south,hot,293.2,22.4,7.8124265920008025,no,4,1583.2
van,standard,north,rainy,175.5,8.95,6.527204459055893,no,4,904.35
bike,same day,east,clear,3.6,33.73,1.9854143422803232,no,5,218.19
van,standard,north,cold,291.6,45.93,8.376521805714416,no,4,1595.79
van,two day,south,foggy,247.4,26.71,7.878112012269323,no,5,1317.13
scooter,two day,north,stormy,165.5,12.13,6.524174352272369,no,4,863.89
scooter,express,north,hot,49.1,23.26,2.7146875547154354,yes,2,365.28
bike,same day,north,rainy,264.4,23.82,8.502928283981976,yes,3,1493.46
ev van,standard,central,clear,191.6,12.02,5.883069511513174,no,4,994.06
scooter,same day,north,cold,3.6,27.96,2.0236016235797347,no,4,193.38
ev van,two day,south,hot,148.6,30.89,5.661586157758061,no,3,835.67
ev van,same day,north,stormy,294.7,12.88,8.9586383182665,yes,1,1612.14
van,two day,north,cold,176.2,22.79,5.390502480164464,no,5,949.37
ev bike,standard,north,foggy,213.5,32.62,7.168398265347068,no,5,1165.36
scooter,two day,north,clear,197.8,45.41,5.9572087719475855,no,4,1125.23
scooter,express,north,hot,156.1,4.66,4.640484765519364,yes,3,844.48
ev van,standard,east,hot,207.9,44.9,6.556098433845789,no,4,1174.2
truck,same day,south,foggy,59.5,6.85,3.501749975861097,no,3,418.05
ev bike,same day,north,rainy,102.0,24.77,5.008076024739756,no,4,684.31
ev van,standard,south,hot,266.9,44.04,7.679503473744079,no,3,1466.62
bike,express,east,clear,81.7,46.02,3.599101769934621,yes,2,596.56
